"","end","country","load"
"6324",2019-11-16,"France",1514741
"6325",2019-11-17,"France",1456321
"6326",2019-11-18,"France",1639694
"6327",2019-11-19,"France",1664233
"6328",2019-11-20,"France",1684636
"6329",2019-11-21,"France",1660241
"6330",2019-11-22,"France",1563175
"6331",2019-11-23,"France",1386577
"6332",2019-11-24,"France",1340524
"6333",2019-11-25,"France",1473894
"6334",2019-11-26,"France",1457432
"6335",2019-11-27,"France",1442225
"6336",2019-11-28,"France",1449200
"6337",2019-11-29,"France",1461514
"6338",2019-11-30,"France",1409479
"6339",2019-12-01,"France",1408642
"6340",2019-12-02,"France",1641972
"6341",2019-12-03,"France",1738768
"6342",2019-12-04,"France",1772521
"6343",2019-12-05,"France",1759795
"6344",2019-12-06,"France",1699503
"6345",2019-12-07,"France",1438774
"6346",2019-12-08,"France",1347079
"6347",2019-12-09,"France",1554512
"6348",2019-12-10,"France",1650778
"6349",2019-12-11,"France",1667806
"6350",2019-12-12,"France",1684689
"6351",2019-12-13,"France",1609353
"6352",2019-12-14,"France",1366364
"6353",2019-12-15,"France",1333676
"6354",2019-12-16,"France",1490390
"6355",2019-12-17,"France",1449058
"6356",2019-12-18,"France",1461166
"6357",2019-12-19,"France",1414771
"6358",2019-12-20,"France",1389308
"6359",2019-12-21,"France",1326893
"6360",2019-12-22,"France",1298359
"6361",2019-12-23,"France",1399362
"6362",2019-12-24,"France",1315320
"6363",2019-12-25,"France",1207624
"6364",2019-12-26,"France",1377515
"6365",2019-12-27,"France",1373973
"6366",2019-12-28,"France",1347560
"6367",2019-12-29,"France",1420109
"6368",2019-12-30,"France",1570437
"6369",2019-12-31,"France",1584773
"6370",2020-01-01,"France",1445857
"6371",2020-01-02,"France",1545987
"6372",2020-01-03,"France",1501559
"6373",2020-01-04,"France",1444880
"6374",2020-01-05,"France",1443451
"6375",2020-01-06,"France",1659902
"6376",2020-01-07,"France",1630757
"6377",2020-01-08,"France",1558585
"6378",2020-01-09,"France",1510284
"6379",2020-01-10,"France",1546162
"6380",2020-01-11,"France",1478843
"6381",2020-01-12,"France",1453199
"6382",2020-01-13,"France",1613663
"6383",2020-01-14,"France",1593941
"6384",2020-01-15,"France",1565498
"6385",2020-01-16,"France",1543757
"6386",2020-01-17,"France",1539935
"6387",2020-01-18,"France",1498575
"6388",2020-01-19,"France",1521103
"6389",2020-01-20,"France",1744957
"6390",2020-01-21,"France",1793019
"6391",2020-01-22,"France",1805571
"6392",2020-01-23,"France",1798575
"6393",2020-01-24,"France",1760216
"6394",2020-01-25,"France",1592702
"6395",2020-01-26,"France",1468961
"6396",2020-01-27,"France",1617724
"6397",2020-01-28,"France",1637350
"6398",2020-01-29,"France",1619433
"6399",2020-01-30,"France",1594166
"6400",2020-01-31,"France",1462163
"6401",2020-02-01,"France",1314601
"6402",2020-02-02,"France",1247254
"6403",2020-02-03,"France",1010189
"6404",2020-02-04,"France",1511965
"6405",2020-02-05,"France",1589147
"6406",2020-02-06,"France",1637039
"6407",2020-02-07,"France",1628611
"6408",2020-02-08,"France",1431011
"6409",2020-02-09,"France",1352249
"6410",2020-02-10,"France",1471081
"6411",2020-02-11,"France",1535602
"6412",2020-02-12,"France",1572532
"6413",2020-02-13,"France",1597209
"6414",2020-02-14,"France",1512531
"6415",2020-02-15,"France",1361273
"6416",2020-02-16,"France",1258363
"6417",2020-02-17,"France",1448623
"6418",2020-02-18,"France",1524331
"6419",2020-02-19,"France",1546994
"6420",2020-02-20,"France",1521276
"6421",2020-02-21,"France",1535427
"6422",2020-02-22,"France",1387450
"6423",2020-02-23,"France",1276808
"6424",2020-02-24,"France",1403790
"6425",2020-02-25,"France",1464926
"6426",2020-02-26,"France",1591910
"6427",2020-02-27,"France",1631869
"6428",2020-02-28,"France",1600123
"6429",2020-02-29,"France",1400894
"6430",2020-03-01,"France",1360101
"6431",2020-03-02,"France",1554175
"6432",2020-03-03,"France",1617915
